species,year,decimalLongitude,decimalLatitude
Lepidodactylus lugubris,2022,-84.092037,9.938059
Iguana iguana,2022,-84.082595,9.984017
Geophis hoffmanni,2022,-84.116371,10.018047
Hemidactylus frenatus,2022,-84.13713,10.008411
Rhinoclemmys pulcherrima,2022,-84.436795,9.931714
Tantilla armillata,2022,-84.194778,9.922567
Lepidodactylus lugubris,2022,-84.210922,10.016003
Iguana iguana,2022,-84.075997,9.940812
Ctenosaura similis,2022,-84.345872,9.98967
Iguana iguana,2022,-84.078866,9.98196
Sibon nebulatus,2022,-84.339689,9.986623
Iguana iguana,2022,-83.929925,9.839571
Sceloporus malachiticus,2018,-84.078824,9.980513
Ninia maculata,2022,-83.927017,9.821429
Iguana iguana,2022,-84.137785,9.961026
Drymobius margaritiferus,2022,-84.043791,9.992352
Sceloporus malachiticus,2018,-84.078824,9.980648
Micrurus nigrocinctus,2022,-84.098097,9.870756
Sceloporus malachiticus,2022,-83.933086,9.838165
Sceloporus malachiticus,2022,-84.079006,9.98158
Bothriechis lateralis,2022,-84.127148,9.852183
Basiliscus basiliscus,2022,-84.183916,9.980751
Chironius exoletus,2022,-84.047863,10.032149
Ctenosaura similis,2022,-84.274863,10.012656
Ninia maculata,2022,-84.044554,9.985165
Sceloporus malachiticus,2017,-84.078847,9.98046
Holcosus festivus,2022,-84.016061,9.829342
Rhinoclemmys pulcherrima,2022,-84.375225,9.936979
Sceloporus malachiticus,2004,-84.146152,9.920695
Hemidactylus garnotii,2022,-84.004577,10.00513
Sceloporus malachiticus,2022,-84.0109,9.942982
Ctenosaura similis,2022,-84.060912,9.932162
Micrurus nigrocinctus,2022,-84.274887,10.014706
Iguana iguana,2022,-84.275047,10.012644
Rhinoclemmys pulcherrima,2022,-84.375203,9.936994
Rhinoclemmys pulcherrima,2022,-84.375203,9.936994
Sceloporus malachiticus,2022,-84.229297,10.040163
Bothriechis lateralis,2022,-84.132762,9.859294
Sceloporus malachiticus,2022,-84.21417,10.015937
Sceloporus malachiticus,2022,-84.049319,9.809669
Hemidactylus frenatus,2022,-84.099267,9.939505
Anolis cupreus,2022,-84.204278,10.002856
Boa imperator,2022,-84.043556,9.991469
Holcosus festivus,2022,-84.07139,9.907973
Ninia maculata,2022,-84.067129,10.028849
Leptodrymus pulcherrimus,2022,-84.184965,9.949326
Alopoglossus plicatus,2022,-83.950775,9.781632
Sceloporus malachiticus,2022,-83.890328,9.839005
Alopoglossus plicatus,2022,-83.923292,9.79819
Gonatodes albogularis,2022,-84.105163,9.905581
