species,year,decimalLongitude,decimalLatitude
Agalychnis annae,2022,-84.110025,9.958481
Rhinella horribilis,2022,-84.31531,9.988619
Craugastor podiciferus,2020,-83.968673,9.964928
Rhinella marina,2018,-84.309927,9.988225
Rhinella horribilis,2022,-84.248807,9.98388
Rhinella horribilis,2022,-84.250388,9.984663
Rhinella horribilis,2022,-84.24878,9.983825
Rhinella horribilis,2022,-84.250273,9.984738
Bolitoglossa tica,2000,-83.888555,9.760569
Lithobates warszewitschii,2010,-84.279783,9.90505
Lithobates warszewitschii,2010,-84.281267,9.904183
Lithobates warszewitschii,2021,-84.287412,9.909808
Triprion spinosus,2021,-83.960921,10.000945
Rhinella horribilis,2022,-83.854167,9.829444
Rhinella horribilis,2010,-83.992056,9.992849
Rhaebo haematiticus,2022,-84.265039,9.92358
Agalychnis annae,2021,-84.170304,10.113192
Espadarana prosoblepon,2022,-84.138958,9.8915
Rhaebo haematiticus,2021,-84.260717,9.917969
Smilisca sordida,2021,-84.260561,9.918194
Espadarana prosoblepon,2021,-84.042,10.0398
Lithobates warszewitschii,2021,-84.260679,9.917926
Smilisca sordida,2022,-84.260931,9.917522
Incilius chompipe,2011,-84.133913,10.046353
Scinax elaeochroa,2022,-84.260726,9.91857
Espadarana prosoblepon,2022,-84.138953,9.891497
Lithobates warszewitschii,2010,-83.992056,9.992849
Agalychnis annae,2021,-84.198718,10.138803
Craugastor podiciferus,2022,-83.941861,9.909056
Agalychnis annae,2022,-84.05388,9.960369
Espadarana prosoblepon,2019,-83.992056,9.992849
Agalychnis annae,2022,-84.00562,9.894121
Agalychnis annae,2020,-83.899258,9.805305
Rhinella horribilis,2022,-84.260823,9.917897
Lithobates warszewitschii,2022,-84.260793,9.918711
Lithobates taylori,2021,-83.9547,9.7522
Lithobates warszewitschii,2021,-83.773316,9.828073
Lithobates warszewitschii,2022,-84.138958,9.8915
Smilisca sordida,2021,-84.26064,9.918263
Hyalinobatrachium fleischmanni,2019,-84.031563,9.909785
Craugastor stejnegerianus,2021,-84.218999,9.913882
Smilisca sordida,2021,-84.171149,9.98172
Lithobates taylori,2021,-83.876186,9.83329
Espadarana prosoblepon,2021,-84.017678,9.923713
Agalychnis callidryas,2021,-83.898806,9.766148
Espadarana prosoblepon,2021,-84.017761,9.923578
Smilisca phaeota,2018,-83.797047,9.871107
Rhinella horribilis,2021,-83.876314,9.842039
Rhinella horribilis,2021,-83.97851,9.929563
Lithobates taylori,2015,-84.078826,9.980757
Agalychnis annae,2015,-84.055955,9.92499
Incilius coccifer,2014,-84.20581,10.004042
Agalychnis annae,2019,-84.118096,9.995454
Lithobates taylori,2019,-84.07885,9.980484
Agalychnis annae,2008,-84.025696,9.927354
Smilisca sordida,2021,-84.137047,10.008347
Lithobates taylori,2009,-84.078786,9.981245
Lithobates vaillanti,2021,-84.07885,9.980484
Agalychnis annae,2009,-84.123453,9.854665
Agalychnis annae,2006,-84.027011,9.959252
Lithobates vaillanti,2021,-84.07885,9.980484
Lithobates taylori,2021,-84.07885,9.980484
Lithobates vaillanti,2021,-84.07885,9.980484
Pristimantis ridens,2008,-83.897179,9.754166
Agalychnis annae,2021,-84.161078,9.880477
Lithobates warszewitschii,2021,-83.978263,9.929798
Trachycephalus vermiculatus,2005,-84.346774,9.990463
Rhaebo haematiticus,2021,-84.238144,9.929294
Trachycephalus vermiculatus,2005,-84.347433,9.99016
Rhinella horribilis,2005,-84.346249,9.990476
Lithobates vaillanti,2021,-84.078608,9.980985
Espadarana prosoblepon,2021,-84.016156,9.927056
Lithobates warszewitschii,2021,-83.778923,9.748863
Smilisca sordida,2021,-84.171077,9.981798
Rhinella horribilis,2005,-84.346459,9.989951
Incilius coccifer,2021,-84.013069,9.931827
Sachatamia albomaculata,2007,-84.279999,9.9
Espadarana prosoblepon,2007,-84.279999,9.9
Craugastor podiciferus,2014,-84.139999,9.87
Craugastor fitzingeri,2002,-84.279999,9.88
Craugastor fitzingeri,2002,-84.279999,9.88
Rhinella horribilis,2021,-84.039758,10.035908
Lithobates warszewitschii,2020,-84.287412,9.909808
Hypopachus variolosus,2021,-84.067157,10.028954
Rhinella horribilis,2021,-84.126642,9.977167
Oedipina uniformis,2021,-84.096841,10.014334
Agalychnis annae,2021,-84.019986,9.962805
Lithobates warszewitschii,2021,-84.275534,9.920982
Dendrobates auratus,2019,-83.819069,9.846539
Hyalinobatrachium fleischmanni,2021,-83.985574,9.907544
Lithobates warszewitschii,2021,-84.06487,9.955551
Smilisca sordida,2021,-84.188417,9.983892
Incilius coniferus,2020,-83.798564,9.866048
Oedipina uniformis,2020,-84.169712,9.981154
Smilisca sordida,2020,-84.126228,9.919301
Agalychnis annae,2021,-83.967671,9.935527
Rhinella horribilis,2020,-83.975135,9.889862
Rhinella horribilis,2020,-84.152203,9.902184
Oedipina uniformis,2015,-84.16854,9.977028
Hyalinobatrachium fleischmanni,2021,-84.039214,9.916992
Cochranella granulosa,2021,-84.072917,9.939958
Cochranella granulosa,2021,-84.218999,9.913882
Smilisca sordida,2021,-84.218999,9.913882
Rhinella horribilis,2020,-84.173163,9.926867
Rhinella horribilis,2020,-84.042824,9.911282
Incilius coniferus,2018,-83.783871,9.759172
Incilius coniferus,2018,-83.86035,9.795899
Lithobates warszewitschii,2018,-83.783627,9.754147
Agalychnis annae,2017,-84.166627,9.961676
Incilius coniferus,2020,-83.849717,9.788399
Dendrobates auratus,2019,-84.214103,10.016055
Rhinella horribilis,2017,-84.179258,9.978196
Incilius coccifer,2017,-84.179291,9.978376
Rhinella horribilis,2017,-84.170929,9.981765
Rhinella horribilis,2017,-84.170699,9.98186
Incilius coccifer,2017,-84.17923,9.978578
Rhinella horribilis,2010,-84.424617,9.930371
Oophaga pumilio,2007,-83.79188,9.850104
Dendrobates auratus,2007,-83.769907,9.839279
Agalychnis annae,2020,-83.811166,9.965957
Lithobates warszewitschii,2021,-83.990179,10.007929
Smilisca sordida,2020,-84.047249,10.01844
Lithobates warszewitschii,2020,-83.777376,9.743483
Dendrobates auratus,2014,-84.091881,9.972857
Smilisca phaeota,2018,-84.287412,9.909808
Leptodactylus savagei,2018,-84.287412,9.909808
Leptodactylus savagei,2018,-84.287412,9.909808
Lithobates warszewitschii,2020,-84.287412,9.909808
Smilisca phaeota,2018,-84.287412,9.909808
Craugastor fitzingeri,2017,-84.287412,9.909808
Craugastor fitzingeri,2017,-84.287412,9.909808
Smilisca phaeota,2018,-84.287412,9.909808
Smilisca phaeota,2018,-84.287412,9.909808
Smilisca phaeota,2020,-84.234843,10.074927
Smilisca sordida,2020,-84.323433,9.985297
Rhinella horribilis,2011,-84.19921,9.928374
Smilisca phaeota,2014,-84.170352,9.905622
Rhaebo haematiticus,2020,-83.86285,9.84223
Agalychnis annae,2020,-84.192469,10.103228
Lithobates taylori,2014,-84.035149,10.025774
Agalychnis annae,2020,-84.152805,10.038305
Incilius coccifer,2020,-83.916083,9.863459
Agalychnis callidryas,2020,-84.19,10.0
Rhinella horribilis,2020,-84.133683,9.918942
Smilisca sordida,2020,-84.137489,9.922943
Agalychnis annae,2014,-84.165977,10.150892
Agalychnis annae,2014,-84.103889,10.093227
Isthmohyla pseudopuma,2014,-84.035149,10.025774
Rhaebo haematiticus,2020,-83.862859,9.842204
Rhinella horribilis,2020,-84.114044,10.039038
Rhinella horribilis,2020,-83.838404,9.85431
Rhinella marina,2020,-84.237221,9.9875
Rhinella marina,2012,-84.309651,9.988061
Craugastor podiciferus,2018,-84.038208,10.04907
Lithobates forreri,2020,-84.078903,9.98021
Lithobates warszewitschii,2020,-84.043587,9.991259
Rhinella horribilis,2020,-84.043677,9.991159
Rhinella horribilis,2020,-84.071215,9.979287
Rhinella horribilis,2019,-83.970044,9.856913
Hyalinobatrachium fleischmanni,2020,-84.239647,10.072192
Rhinella horribilis,2020,-84.102166,9.976471
Eleutherodactylus coqui,2020,-84.135021,9.90682
Smilisca phaeota,2020,-83.829879,9.851726
Cruziohyla sylviae,2016,-84.21417,10.015939
Agalychnis annae,2019,-83.86276,9.843502
Isthmohyla picadoi,2019,-84.102031,10.108251
Triprion spinosus,2019,-83.975385,10.015108
Rhinella horribilis,2014,-84.249647,9.984695
Dendrobates auratus,2017,-84.087097,9.92963
Agalychnis annae,2020,-84.139625,9.887797
Rhinella horribilis,2016,-83.80477,9.964675
Lithobates warszewitschii,2020,-83.784255,9.760322
Oophaga pumilio,2019,-84.177571,10.005232
Agalychnis annae,2019,-84.154684,9.936727
Rhinella horribilis,2019,-84.065375,9.915903
Craugastor fitzingeri,2017,-84.377964,9.941112
Craugastor stejnegerianus,2017,-84.378113,9.941099
Teratohyla pulverata,2017,-84.378191,9.941097
Bolitoglossa subpalmata,2014,-84.213478,10.050303
Rhinella horribilis,2013,-84.28376,9.916182
Agalychnis callidryas,2013,-84.105077,9.987448
Agalychnis annae,2019,-84.096036,9.843322
Oophaga pumilio,2008,-84.093795,9.973279
Rhinella horribilis,2019,-84.250083,9.984687
Agalychnis annae,2019,-84.002943,9.831907
Incilius coccifer,2017,-84.088084,9.925242
Agalychnis annae,2017,-84.170627,9.938993
Rhinella horribilis,2019,-84.214709,9.93387
Agalychnis callidryas,2015,-84.279213,10.054811
Lithobates taylori,2019,-84.07885,9.980484
Rhinella horribilis,2019,-83.972167,9.855987
Lithobates warszewitschii,2019,-83.784095,9.751788
Dendrobates auratus,2018,-84.073853,9.938717
Incilius melanochlorus,2018,-83.797038,9.871052
Smilisca sordida,2017,-84.238229,9.910372
Incilius coniferus,2018,-83.79701,9.871036
Lithobates taylori,2018,-83.797116,9.871105
Hyalinobatrachium fleischmanni,2018,-83.797162,9.871205
Incilius coccifer,2016,-83.836367,9.826714
Diasporus diastema,2016,-83.836367,9.826714
Lithobates taylori,2017,-84.052607,9.88752
Hypopachus variolosus,2017,-84.249878,9.984193
Incilius coccifer,2014,-84.144641,10.019377
Lithobates forreri,2015,-84.250226,9.984652
Smilisca sordida,2018,-84.054367,9.967066
Incilius melanochlorus,2014,-84.057255,10.041338
Lithobates vaillanti,2013,-84.078941,9.980978
Rhinella horribilis,2018,-83.955418,9.821896
Lithobates warszewitschii,2018,-84.177121,9.921434
Rhinella horribilis,2018,-84.152092,9.974815
Dendropsophus ebraccatus,2018,-83.874407,9.836808
Rhinella horribilis,2016,-84.249617,9.984067
Agalychnis annae,2008,-84.129983,9.978767
Lithobates taylori,2017,-83.866408,9.839214
Lithobates warszewitschii,2014,-84.054937,10.050107
Incilius coccifer,2010,-84.211628,10.016247
Rhinella marina,2010,-84.211628,10.016247
Rhinella horribilis,2014,-84.055624,10.062445
Agalychnis callidryas,2014,-84.053307,10.05529
Lithobates warszewitschii,2014,-83.783703,9.746497
Smilisca phaeota,2016,-83.836367,9.826714
Rhaebo haematiticus,2016,-83.836367,9.826714
Hyalinobatrachium fleischmanni,2016,-83.836367,9.826714
Dendropsophus ebraccatus,2016,-83.836367,9.826714
Hyalinobatrachium fleischmanni,2016,-84.059359,9.939946
Rhinella horribilis,2017,-84.078505,9.979646
Lithobates warszewitschii,2014,-84.059201,9.939805
Rhinella horribilis,2017,-84.13146,9.902556
Agalychnis annae,2017,-84.069258,9.834041
Rhinella horribilis,2015,-83.849892,9.806183
Dendrobates auratus,2013,-84.262119,10.056322
Cruziohyla sylviae,2017,-84.104971,9.94535
Cruziohyla sylviae,2017,-84.104924,9.945364
Agalychnis callidryas,2017,-84.090123,9.907797
Rhinella horribilis,2016,-84.211395,9.951722
Rhinella horribilis,2016,-84.188437,9.967733
Incilius coccifer,2015,-84.250226,9.984652
Craugastor crassidigitus,2005,-84.08,10.03
Incilius melanochlorus,2005,-84.08,10.03
Craugastor crassidigitus,2005,-84.08,10.03
Craugastor fitzingeri,2005,-84.08,10.03
Leptodactylus melanonotus,2005,-84.08,10.03
Pristimantis cerasinus,2005,-84.08,10.03
Diasporus diastema,2005,-84.08,10.03
Leptodactylus melanonotus,2005,-84.08,10.03
Incilius melanochlorus,2005,-84.08,10.03
Leptodactylus melanonotus,2005,-84.08,10.03
Lithobates warszewitschii,2005,-84.08,10.03
Craugastor crassidigitus,2005,-84.08,10.03
Pristimantis cerasinus,2005,-84.08,10.03
Lithobates warszewitschii,2005,-84.08,10.03
Smilisca phaeota,2005,-84.08,10.03
Leptodactylus melanonotus,2005,-84.08,10.03
Craugastor fitzingeri,2005,-84.08,10.03
Craugastor crassidigitus,2005,-84.08,10.03
Craugastor fitzingeri,2005,-84.08,10.03
Craugastor crassidigitus,2005,-84.08,10.03
Leptodactylus melanonotus,2005,-84.08,10.03
Diasporus diastema,2005,-84.08,10.03
Rhaebo haematiticus,2005,-84.08,10.03
Smilisca phaeota,2005,-84.08,10.03
Craugastor megacephalus,2005,-84.08,10.03
Scinax elaeochroa,2005,-84.08,10.03
Dendropsophus ebraccatus,2005,-84.08,10.03
Craugastor underwoodi,2005,-84.08,10.03
Craugastor crassidigitus,2005,-84.08,10.03
Leptodactylus savagei,2005,-84.08,10.03
Scinax elaeochroa,2005,-84.08,10.03
Craugastor fitzingeri,2005,-84.08,10.03
Diasporus diastema,2005,-84.08,10.03
Leptodactylus melanonotus,2005,-84.08,10.03
Craugastor fitzingeri,2005,-84.08,10.03
Rhinella horribilis,2016,-84.180128,9.937388
Isthmohyla picadoi,2010,-84.104817,10.105117
Isthmohyla picadoi,2010,-84.103267,10.1077
Isthmohyla picadoi,2010,-84.103267,10.1077
Agalychnis annae,2009,-84.012675,9.992472
Lithobates taylori,2016,-84.0786,9.9817
Rhinella horribilis,2015,-84.250226,9.984652
Agalychnis annae,2014,-84.108589,9.979504
Lithobates taylori,2014,-84.078922,9.981034
