species,year,decimalLongitude,decimalLatitude
Sciurus variegatoides,2018,-84.099102,9.936747
Choloepus hoffmanni,2022,-84.347162,9.940783
Sciurus variegatoides,2022,-84.047387,9.92853
Sciurus variegatoides,2020,-84.198868,10.058094
Sciurus variegatoides,2022,-84.033621,9.934776
Sciurus variegatoides,2022,-83.997221,9.922631
Sciurus variegatoides,2019,-83.943462,9.909199
Sciurus variegatoides,2022,-84.101525,9.936088
Sciurus variegatoides,2022,-84.00331,9.930197
Sciurus variegatoides,2021,-84.090725,9.928069
Sciurus variegatoides,2021,-84.050864,9.937205
Potos flavus,2022,-84.129802,10.091028
Choloepus hoffmanni,2022,-84.18837,10.137967
Choloepus hoffmanni,2022,-84.34758,9.940267
Dasypus novemcinctus,2018,-83.994044,9.936297
Alouatta palliata,2022,-84.05762,9.910884
Sciurus variegatoides,2006,-84.078847,9.98046
Nasua narica,2022,-83.783527,9.758697
Canis latrans,2022,-83.83078,9.963483
Sciurus variegatoides,2022,-84.193322,9.91903
Dasypus novemcinctus,2022,-83.997069,9.993278
Procyon lotor,2022,-84.128131,9.856185
Bradypus variegatus,2022,-84.047936,9.93807
Canis latrans,2022,-84.079193,10.065755
Procyon lotor,2022,-84.109795,10.000391
Sciurus variegatoides,2022,-84.079006,9.98158
Uroderma bilobatum,2022,-84.250221,10.024862
Nasua narica,2022,-83.783775,9.759071
Choloepus hoffmanni,2020,-84.051474,9.906878
Sciurus variegatoides,2022,-83.933465,9.828417
Sciurus variegatoides,2022,-84.10215,9.937522
Sciurus variegatoides,2022,-84.19188,9.919183
Sciurus variegatoides,2021,-84.117789,9.943045
Didelphis marsupialis,2022,-84.096069,9.987664
Sciurus variegatoides,2019,-84.077774,9.980101
Sphiggurus mexicanus,2022,-84.139177,9.89175
Sciurus variegatoides,2015,-84.078847,9.98046
Procyon lotor,2022,-83.992056,9.992849
Sciurus variegatoides,2022,-84.080266,9.982902
Urocyon cinereoargenteus,2021,-84.018954,9.916995
Cebus imitator,2021,-84.114203,10.012385
Choloepus hoffmanni,2022,-83.994135,9.991765
Sciurus variegatoides,2017,-84.21417,10.015939
Choloepus hoffmanni,2022,-84.273467,10.013928
Dasyprocta punctata,2022,-84.274637,10.013047
Choloepus hoffmanni,2022,-84.045479,9.940796
Sciurus variegatoides,2022,-84.100389,9.937467
Bradypus variegatus,2013,-84.049782,9.937793
Orthogeomys heterodus,2021,-83.846233,9.960529
Sciurus variegatoides,2022,-84.078766,9.981624
Sciurus variegatoides,2022,-84.078766,9.981624
Sciurus variegatoides,2022,-84.250046,9.969048
Sciurus variegatoides,2022,-84.078766,9.981624
Sciurus variegatoides,2022,-84.070122,9.934244
Sciurus variegatoides,2022,-84.078766,9.981624
Sciurus variegatoides,2022,-84.078899,9.980843
Sciurus variegatoides,2011,-84.199025,10.059811
Sciurus variegatoides,2022,-84.073166,9.938605
Sciurus variegatoides,2022,-84.199122,10.058412
Sciurus variegatoides,2022,-84.067878,9.938957
Sciurus variegatoides,2021,-84.078758,9.981787
Sciurus variegatoides,2022,-84.199122,10.058412
Sciurus variegatoides,2017,-84.103024,9.936789
Sciurus variegatoides,2019,-83.890983,9.838278
Sciurus variegatoides,2022,-84.270962,9.944261
Sciurus variegatoides,2022,-84.063675,9.927267
Cuniculus paca,2022,-83.991228,9.909045
Sciurus variegatoides,2022,-84.116836,9.942049
Nasua narica,2022,-83.783692,9.759041
Canis latrans,2022,-83.873021,9.956554
Didelphis marsupialis,2022,-84.158486,9.906446
Sciurus variegatoides,2022,-84.111881,9.998243
Sciurus variegatoides,2022,-84.051754,9.935354
Sciurus variegatoides,2022,-84.041592,9.905871
Sciurus variegatoides,2022,-84.111947,9.998238
Dasyprocta punctata,2022,-83.93881,9.795053
Procyon lotor,2022,-84.071816,9.91379
Sciurus variegatoides,2022,-84.193262,9.980784
Didelphis marsupialis,2022,-84.193419,9.980875
Procyon lotor,2022,-84.109878,9.99838
Sciurus variegatoides,2022,-84.274556,10.012353
Urocyon cinereoargenteus,2021,-84.011528,9.915112
Sciurus variegatoides,2022,-84.224102,9.994729
Nasua narica,2010,-83.783692,9.759041
Urocyon cinereoargenteus,2021,-84.012689,9.9164
Ateles geoffroyi,2022,-84.235599,10.129865
Urocyon cinereoargenteus,2021,-84.009408,9.916617
Nasua narica,2022,-83.804673,9.840542
Syntheosciurus brochus,2012,-84.229354,10.01497
Urocyon cinereoargenteus,2022,-84.182387,9.899533
Sciurus variegatoides,2022,-84.249663,9.984683
Tapirella bairdii,2019,-84.191998,10.113235
Sciurus variegatoides,2022,-84.241622,9.99517
Sciurus variegatoides,2021,-84.214272,10.003303
Procyon lotor,2021,-84.068206,9.938799
Sciurus variegatoides,2019,-84.0788,9.9801
Sciurus variegatoides,2019,-84.189369,9.945592
Sciurus variegatoides,2018,-84.07878,9.982178
Sciurus variegatoides,2017,-84.111418,9.945176
Sciurus variegatoides,2018,-84.224436,9.995101
Sciurus variegatoides,2012,-84.22126,10.01644
Sciurus variegatoides,2015,-84.224178,9.994753
Sciurus variegatoides,2017,-84.079251,9.981501
Sciurus variegatoides,2017,-84.078976,9.981466
Sciurus variegatoides,2009,-84.090528,9.94006
Sciurus variegatoides,2013,-84.101472,9.935923
Sciurus variegatoides,2009,-84.155209,9.973098
Sciurus variegatoides,2013,-84.1908,10.0023
Sciurus variegatoides,2008,-84.072096,9.915009
Sciurus variegatoides,2021,-84.214104,10.003263
Sciurus variegatoides,2012,-84.309651,9.988061
Sciurus variegatoides,2009,-84.155209,9.973098
Sciurus variegatoides,2021,-84.11692,10.021446
Sciurus variegatoides,2021,-84.147728,9.917556
