species,year,decimalLongitude,decimalLatitude
Osmunda regalis,2004,-83.79,9.77
Miconia alboglandulosa,2000,-83.78,9.75
Miconia alboglandulosa,2000,-83.78,9.75
Oncidium ansiferum,2003,-83.97,9.86
Oncidium bryolophotum,2005,-83.79,9.77
Oreopanax nicaraguensis,2000,-83.78,9.77
Oreopanax vestitus,2000,-84.01,10.06
Epidendrum exasperatum,2003,-83.97,9.87
Epidendrum parviexasperatum,2003,-83.98,9.87
Epidendrum exasperatum,2003,-83.98,9.87
Epidendrum centropetalum,2004,-83.97,9.86
Ocotea holdridgeiana,2000,-84.01,10.06
Ocotea holdridgeiana,2000,-83.98,10.06
Notopleura tolimensis,2004,-84.14,9.87
Nephrolepis pendula,2004,-83.9,9.76
Nephrolepis undulata,2004,-84.13,9.87
Neomirandea guevarae,2000,-84.0,10.03
Neomirandea eximia,2000,-83.78,9.75
Neolamarckia cadamba,2003,-84.05,9.96
Munnozia wilburii,2000,-83.98,10.06
Morella pubescens,2000,-84.11,10.12
Monochaetum floribundum,2002,-83.93,9.8
Moranopteris taenifolia,2004,-83.9,9.76
Miconia pittieri,2000,-84.11,10.12
Miconia theizans,2000,-83.78,9.75
Miconia pendula,2000,-84.0,10.03
Miconia multiplinervia,2000,-83.78,9.77
Miconia livida,2000,-83.98,10.06
Miconia cremadena,2000,-84.11,10.12
Miconia nutans,2000,-83.98,10.06
Miconia dodecandra,2002,-83.93,9.8
Miconia costaricensis,2000,-83.78,9.77
Miconia aeruginosa,2003,-83.97,9.86
Miconia aeruginosa,2002,-83.8,9.76
Melpomene firma,2005,-84.15,9.88
Ascogrammitis anfractuosa,2004,-84.14,9.89
Merinthopodium neuranthum,2000,-83.78,9.75
Megalastrum subincisum,2004,-84.13,9.87
Medicago polymorpha,2001,-83.91,9.85
Maxillaria scorpioidea,2003,-83.97,9.86
Maxillaria biolleyi,2003,-83.96,9.87
Maxillaria lankesteri,2004,-83.88,9.81
Maxillaria fulgens,2001,-83.78,9.75
Maxillaria bracteata,2004,-83.88,9.81
Masdevallia floribunda,2003,-83.97,9.86
Masdevallia chontalensis,2003,-83.96,9.87
Masdevallia picturata,2003,-83.96,9.87
Masdevallia picturata,2003,-83.98,9.87
Masdevallia chontalensis,2003,-83.98,9.87
Marcgravia brownei,2000,-83.98,10.06
Adelphia platyrachis,2001,-84.27,9.9
Niedenzuella stannea,2000,-84.27,9.9
Manekia naranjoana,2001,-83.78,9.75
Diphasiastrum thyoides,2004,-84.14,9.89
Diphasiastrum thyoides,2004,-84.14,9.88
Ludwigia peruviana,2000,-83.78,9.75
Lindsaea arcuata,2004,-83.9,9.76
Lepanthes lindleyana,2002,-84.09,9.85
Liabum bourgeaui,2000,-83.98,10.06
Leochilus tricuspidatus,2003,-83.96,9.87
Stenogrammitis limula,2005,-84.15,9.88
Stenogrammitis limula,2004,-84.14,9.88
Stenogrammitis limula,2004,-84.14,9.88
Lastreopsis killipii,2004,-83.9,9.76
Lellingeria suprasculpta,2004,-83.9,9.76
Stenogrammitis limula,2005,-84.15,9.88
Ladenbergia brenesii,2000,-83.78,9.77
Isachne arundinacea,2000,-83.78,9.77
Iresine calea,2000,-83.98,10.06
